@relation 'adult.test_income_AM3-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L<50k-R1-weka.filters.unsupervised.attribute.MergeManyValues-Clast-L>50k-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Reorder-Rlast,first-13-weka.filters.unsupervised.attribute.Remove-R10'

@attribute Sex {0,1}
@attribute Capital-gain numeric
@attribute Capital-loss numeric
@attribute Hours-per-week numeric
@attribute Native-country {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40}
@attribute Income {0,1}
@attribute Age numeric
@attribute Workclass {0,1,2,3,4,5,6,7}
@attribute Education {13,9,6,8,10,11,12,4,3,7,14,1,5,15,2,0}
@attribute Marital-status {0,1,2,3,4,5,6}
@attribute Occupation {0,1,2,3,4,5,6,7,8,9,10,11,12,13}
@attribute Relationship {0,1,2,3,4,5}
@attribute Race {White,Asian-Pac-Islander,Amer-Indian-Eskimo,Other,Black}

@data
1,0,0,40,0,0,45,0,8,0,6,2,White
1,0,0,72,0,1,30,4,9,0,0,2,White
1,0,0,45,7,1,45,3,13,0,8,2,Asian-Pac-Islander
1,0,0,14,0,0,72,1,3,0,10,2,White
1,10605,0,40,0,1,66,0,6,0,2,2,White
1,0,0,60,0,0,36,0,13,2,4,3,White
1,0,0,40,0,1,48,0,13,0,0,2,White
0,0,0,40,20,0,28,5,11,2,8,1,White
1,0,0,50,0,1,42,4,14,0,5,2,White
1,0,0,50,0,0,25,0,8,0,7,2,White
1,0,0,20,0,0,21,0,8,1,1,3,White
1,0,0,48,0,0,36,0,8,0,1,2,Amer-Indian-Eskimo
1,0,0,40,0,0,22,0,12,2,6,3,White
1,0,0,20,0,0,23,0,13,2,3,1,Asian-Pac-Islander
1,0,0,40,0,0,41,0,6,0,1,2,White
1,0,0,55,0,0,38,0,8,0,10,2,White
1,0,0,48,0,0,34,0,8,0,10,2,White
1,0,0,40,0,0,44,0,9,0,1,2,Black
0,0,0,40,36,0,33,0,12,2,3,4,White
1,0,0,50,0,1,50,0,8,0,3,2,White
0,0,0,25,0,0,21,0,9,2,2,1,White
1,0,0,40,0,0,36,0,8,0,1,2,White
0,0,0,48,0,0,28,1,13,2,3,3,White
0,0,0,35,0,0,21,5,9,2,2,3,White
1,99999,0,50,0,1,48,0,10,0,5,2,White
1,0,0,40,0,1,57,0,9,0,5,2,White
1,3908,0,50,0,0,33,0,8,0,3,2,White
0,594,0,15,0,0,19,0,6,2,8,1,White
0,0,0,40,0,0,36,0,9,2,8,1,Amer-Indian-Eskimo
0,0,0,44,0,0,43,0,8,3,7,3,White
0,0,0,14,0,0,23,0,9,2,3,1,Black
1,0,0,40,0,1,29,0,8,0,3,2,White
1,0,0,40,0,0,19,0,8,2,2,1,White
1,15024,0,50,0,1,46,0,14,0,5,2,White
1,0,0,45,0,1,62,0,8,0,4,2,White
1,0,0,40,0,0,46,5,8,0,6,2,White
1,15024,0,50,0,1,53,0,14,0,4,2,White
0,0,0,60,0,0,49,4,6,1,2,1,White
1,0,1602,15,0,0,17,0,6,2,10,1,White
1,0,0,40,0,0,32,0,11,0,9,2,White
0,0,0,30,0,0,21,0,9,2,7,1,White
1,2174,0,40,0,0,24,0,9,2,1,3,White
0,0,0,40,0,0,23,0,13,2,3,3,White
1,0,0,40,0,0,22,0,8,0,6,2,White
0,0,0,50,0,0,38,0,9,3,0,5,Black
1,0,0,20,0,0,17,0,6,2,3,1,White
0,0,0,15,0,0,28,0,9,2,8,3,White
0,0,2258,40,0,0,31,0,14,2,4,3,White
1,0,0,20,0,0,20,1,3,2,1,1,White
1,4386,0,45,0,1,39,0,9,0,3,2,White
1,0,0,40,0,0,41,3,9,0,2,2,White
0,0,0,40,0,0,28,0,9,2,8,3,White
1,0,0,40,0,1,67,3,8,2,8,3,White
1,0,0,20,0,0,25,0,9,2,4,1,White
0,0,0,40,0,0,27,0,13,2,5,3,White
1,0,0,50,0,0,45,0,9,2,1,3,White
1,0,0,40,0,0,19,0,8,2,0,3,Black
1,0,0,40,0,1,37,0,13,0,4,2,White
1,0,0,60,0,1,57,0,5,0,10,2,White
1,0,0,70,0,0,31,0,9,0,1,2,White
0,0,0,55,0,0,63,4,8,1,2,5,Black
1,0,0,40,0,0,33,4,4,0,2,2,White
1,0,0,20,0,0,23,4,9,2,2,1,White
0,0,0,40,0,0,34,0,13,2,5,1,White
0,0,0,40,0,0,26,0,11,0,8,0,White
0,0,0,37,0,0,30,0,8,1,2,5,White
0,7688,0,40,0,1,33,0,12,0,5,0,White
1,0,0,40,0,0,18,0,8,2,1,1,White
1,0,0,40,0,0,26,0,6,3,1,3,Black
1,0,0,25,0,0,66,1,5,0,1,2,White
1,0,0,40,16,1,45,4,14,0,5,2,White
1,0,0,43,0,0,56,0,8,2,8,5,White
1,0,0,40,0,0,47,0,5,0,3,2,White
0,0,0,35,0,0,45,0,6,2,3,3,Black
0,0,0,37,0,0,35,0,9,2,2,5,Black
1,0,0,40,0,0,30,0,4,0,9,2,White
1,0,0,48,0,1,48,0,13,0,4,2,White
0,0,0,40,0,0,53,3,9,1,8,3,White
1,0,0,60,11,1,43,0,8,0,4,2,Asian-Pac-Islander
1,0,0,40,0,0,28,4,8,2,6,4,Black
1,0,0,60,0,0,34,0,5,0,10,2,White
0,0,0,40,0,0,56,0,8,4,7,3,Black
1,0,0,55,0,0,48,0,11,5,1,3,White
1,0,0,40,0,0,18,0,7,2,11,1,White
1,0,0,50,0,0,59,0,8,0,1,2,White
1,7298,0,60,0,1,33,0,11,0,7,2,White
0,0,0,40,0,0,34,0,8,1,4,3,White
1,0,0,45,0,0,24,1,4,0,1,2,White
1,0,0,60,0,0,23,0,13,2,4,3,White
1,0,0,40,0,0,55,0,8,1,1,5,White
0,0,0,10,0,0,37,4,8,5,2,5,White
0,0,0,40,0,0,46,0,9,2,6,5,Black
0,0,0,15,0,0,17,0,6,2,5,1,White
1,4650,0,45,0,0,41,0,13,1,5,3,White
1,0,0,55,0,1,59,0,13,0,3,2,White
1,15024,0,40,0,1,46,2,8,0,9,2,White
1,0,0,30,0,0,18,0,8,2,6,1,White
1,0,0,40,0,0,33,0,12,0,1,2,White
1,0,0,20,0,0,23,0,8,2,2,1,White
0,0,0,45,0,0,25,0,9,2,2,3,White
1,0,0,40,0,0,28,0,8,2,3,4,Black
0,0,0,36,0,0,22,0,9,2,8,1,White
0,0,0,30,0,0,43,0,8,0,8,0,White
0,0,0,55,0,0,48,0,9,1,3,5,White
1,0,0,60,0,0,46,0,8,0,10,2,White
0,0,0,30,0,0,34,1,6,0,3,0,White
1,0,0,40,0,0,45,0,9,0,3,2,White
1,0,0,44,0,1,35,0,12,0,8,2,White
1,0,0,40,0,0,38,0,6,4,1,5,White
0,0,0,32,0,0,51,0,8,1,2,3,White
0,0,0,40,3,0,41,0,8,2,2,5,White
0,0,0,40,0,0,37,0,12,1,6,5,Black
1,0,0,40,0,0,47,3,11,0,4,2,White
0,0,0,35,0,0,43,0,13,3,8,5,White
1,0,0,50,8,1,35,0,13,0,4,2,Asian-Pac-Islander
1,0,0,40,20,0,41,0,1,0,10,2,White
1,0,0,80,0,1,46,3,9,0,8,2,White
1,0,0,40,0,1,63,0,8,0,7,2,White
1,0,0,40,0,1,50,0,12,0,9,2,Asian-Pac-Islander
1,594,0,5,0,0,17,0,5,2,9,1,White
1,0,0,50,0,0,54,2,8,1,3,3,White
1,0,0,40,0,1,47,3,14,0,4,2,Black
1,0,0,60,12,1,52,0,9,0,3,2,White
1,0,0,40,0,0,26,5,9,2,4,1,White
1,0,0,25,20,0,46,0,2,0,6,2,White
1,0,0,30,0,0,23,0,5,2,2,3,White
0,0,0,35,0,0,21,0,9,2,3,1,White
0,0,0,25,0,0,20,0,9,2,2,3,White
1,0,0,20,0,0,62,1,8,0,2,2,White
0,0,0,50,0,1,32,0,14,1,3,3,White
0,0,0,40,0,0,23,0,9,2,5,1,White
1,0,0,40,0,0,27,0,9,2,7,3,White
1,5013,0,40,0,0,37,0,6,0,1,2,White
1,0,0,48,0,0,67,2,3,0,1,2,White
1,0,0,56,0,1,38,3,7,0,12,2,White
1,0,0,46,0,1,41,0,10,0,5,2,White
1,0,0,40,0,1,38,0,4,0,1,2,White
1,0,0,40,0,1,50,5,13,0,1,2,White
1,2829,0,70,0,0,33,2,8,0,9,2,White
1,15024,0,78,0,1,49,0,14,0,12,2,White
0,0,0,60,0,0,49,1,12,2,8,3,White
1,0,0,42,0,1,42,0,8,0,1,2,White
1,0,1887,40,0,1,35,0,13,0,0,2,White
1,0,0,45,0,0,37,0,9,3,3,3,White
0,0,0,50,0,0,47,0,4,4,4,5,White
0,0,0,35,0,1,64,4,8,4,8,3,White
1,0,0,50,0,1,47,2,14,0,3,2,White
1,0,0,55,0,0,43,0,8,0,10,2,White
1,99999,0,40,0,1,65,0,13,0,4,2,White
1,0,0,40,20,0,27,0,7,2,6,4,White
0,0,0,40,0,0,23,0,8,2,8,5,White
1,0,0,40,0,0,35,0,9,0,4,2,White
1,0,0,40,0,0,26,0,9,2,2,3,White
1,0,0,35,0,0,25,0,13,2,5,3,White
1,3325,0,40,0,0,42,0,9,1,1,3,White
0,2977,0,65,0,0,34,0,9,1,8,5,White
0,0,0,25,0,0,21,4,9,2,5,1,White
1,0,0,65,0,1,55,0,9,1,3,3,White
1,0,0,50,0,1,30,0,9,0,4,2,White
1,0,0,20,0,0,70,0,5,4,8,4,White
1,0,0,40,0,0,26,0,8,2,9,3,White
1,0,0,37,0,1,47,4,14,0,4,2,White
0,0,0,40,0,1,51,0,11,0,5,0,White
1,0,0,40,0,0,23,0,9,2,8,1,White
0,0,0,40,0,0,21,0,8,5,8,1,White
1,0,0,25,0,0,26,4,8,2,6,1,Amer-Indian-Eskimo
1,0,0,40,0,1,53,0,13,0,5,2,White
1,0,0,40,0,0,31,4,12,1,10,3,White
0,0,0,20,0,0,27,0,8,2,8,3,White
1,0,0,48,0,0,35,0,8,0,1,2,White
1,0,0,50,0,1,36,0,14,0,4,2,White
1,0,0,40,0,0,78,0,9,0,1,2,White
1,0,0,42,0,1,35,0,12,0,1,2,White
1,0,1902,40,0,1,61,0,9,0,5,2,White
1,0,0,46,0,0,33,0,11,0,3,2,White
1,0,0,40,0,0,40,0,8,5,4,3,White
1,10520,0,20,0,1,51,1,14,2,4,3,White
1,0,0,50,0,1,30,4,8,0,10,2,White
0,0,0,40,0,0,52,0,8,2,8,3,White
0,0,0,40,0,0,21,0,8,1,7,3,White
1,0,0,40,0,0,61,1,9,0,1,2,White
0,0,0,40,0,0,35,0,9,3,4,1,Black
1,0,0,40,0,0,44,0,11,0,3,2,White
0,0,0,50,0,0,47,3,13,1,0,5,White
0,0,0,30,0,0,23,5,12,6,8,0,White
1,0,0,70,0,0,36,0,8,0,10,2,White
1,0,0,10,0,1,65,1,10,0,4,2,White
1,0,0,30,0,0,40,0,13,2,5,3,White
0,0,0,40,0,0,19,0,8,2,8,3,White
1,0,0,60,0,0,33,0,8,0,6,2,White
0,0,0,6,0,0,72,0,9,4,8,3,White
1,0,0,40,0,0,43,0,3,0,6,2,Black
1,0,0,40,15,1,46,0,13,0,8,2,Asian-Pac-Islander
1,0,0,40,0,0,58,0,8,0,6,4,White
1,0,0,40,0,0,27,5,14,2,5,3,White
0,0,0,37,0,0,32,0,8,3,2,1,White
1,0,0,40,0,0,22,0,8,2,8,1,White
1,0,0,40,20,0,21,0,12,2,4,4,White
0,0,0,38,0,0,39,4,11,2,0,3,White
1,0,0,40,0,0,28,0,8,2,7,1,White
0,0,0,40,0,0,35,0,4,0,4,0,White
1,0,0,40,0,0,30,0,8,0,1,2,White
1,0,1977,60,0,1,58,0,9,0,3,2,White
0,0,0,40,0,0,33,0,12,2,5,3,White
0,0,0,35,0,0,48,0,13,2,4,3,White
1,0,0,16,0,0,18,0,6,2,2,1,Black
0,4865,0,45,20,0,53,0,9,1,8,5,Other
0,0,0,40,0,0,28,0,12,2,4,3,White
0,0,0,35,0,0,34,0,13,0,5,0,Black
1,0,0,35,0,0,51,0,6,2,2,4,Asian-Pac-Islander
0,5455,0,40,0,0,33,0,13,3,0,5,White
0,0,0,45,5,0,23,0,11,0,9,0,White
1,0,0,40,0,0,26,0,12,2,9,1,White
1,0,0,40,0,0,45,0,13,0,4,2,White
0,0,0,30,0,0,63,0,9,1,2,3,White
0,1055,0,25,0,0,22,0,8,2,3,1,White
1,2290,0,45,0,0,72,1,3,0,2,2,White
0,0,0,25,0,0,24,0,9,2,3,1,White
0,0,0,20,0,0,31,0,6,0,3,0,White
1,7688,0,35,0,1,53,1,14,0,4,2,White
0,0,1573,40,16,0,53,0,8,0,2,0,White
1,0,0,60,0,0,40,1,11,0,9,2,White
0,0,0,28,0,0,74,0,8,4,8,3,White
1,0,0,40,0,0,35,0,6,2,1,3,White
1,2105,0,40,0,0,28,0,8,0,1,2,White
1,0,0,30,0,0,64,0,8,0,5,2,White
1,15024,0,40,39,1,36,0,14,0,4,2,Asian-Pac-Islander
1,0,0,50,0,1,34,0,8,0,10,2,White
1,0,0,50,0,1,46,0,9,0,1,2,White
1,0,0,35,0,0,22,0,9,2,7,1,Asian-Pac-Islander
1,0,0,40,0,0,23,0,8,2,6,1,White
1,0,0,55,0,1,38,3,13,0,12,2,White
0,0,0,40,0,1,62,1,15,4,4,3,White
1,0,0,40,0,0,23,4,13,2,5,5,White
1,0,0,45,0,0,27,0,9,0,3,2,White
1,0,0,60,0,1,40,0,14,0,4,2,White
1,0,1902,40,0,1,46,0,12,0,4,2,White
1,0,0,50,2,0,33,0,13,0,4,2,White
0,0,0,40,0,0,33,4,9,0,8,0,White
1,0,0,50,0,1,38,0,8,0,10,2,White
1,0,0,40,0,0,42,2,13,2,5,3,White
1,0,0,40,0,1,52,0,8,0,7,2,Black
1,0,0,45,0,0,43,1,14,0,3,2,White
1,0,0,40,0,1,31,0,13,0,3,2,White
1,0,0,40,36,0,37,0,2,0,7,2,White
1,15024,0,60,5,1,46,2,13,0,4,2,White
0,0,0,18,0,0,17,0,7,2,11,1,White
1,0,0,52,0,1,47,0,12,0,0,2,White
0,0,0,35,0,0,22,0,8,2,2,3,White
1,0,0,20,3,0,37,0,13,2,2,3,White
1,0,0,50,0,1,36,0,9,0,1,2,White
1,2653,0,42,0,0,72,1,8,0,9,2,White
1,0,0,40,0,0,64,0,9,0,4,2,White
1,0,0,42,0,0,22,0,8,0,3,2,White
1,0,0,60,0,0,53,0,13,0,9,2,White
1,0,0,40,0,1,28,0,8,0,4,2,White
0,0,0,40,0,0,42,5,8,1,12,5,White
1,3103,0,40,0,1,29,0,9,0,6,2,White
1,0,0,40,0,0,38,0,9,1,8,3,Black
0,0,0,40,0,0,19,0,8,2,1,1,White
1,0,0,40,0,0,21,0,8,2,2,4,Black
1,0,0,50,0,1,31,1,9,0,5,2,White
0,7298,0,45,0,1,38,0,12,0,5,0,White
1,0,0,38,0,0,42,1,10,2,5,3,White
0,0,0,40,0,0,60,0,9,1,8,4,White
1,0,0,48,0,0,36,0,7,0,7,2,White
0,0,0,50,0,0,40,0,13,2,4,3,White
0,0,0,50,0,1,37,2,13,2,2,3,White
0,10520,0,38,0,1,41,0,14,4,5,3,White
1,0,0,60,0,1,33,0,13,0,4,2,Black
1,0,0,40,0,1,36,0,11,0,0,2,White
1,0,0,60,0,0,48,0,8,0,3,2,White
1,0,0,40,0,0,50,0,9,5,10,5,White
1,0,0,40,0,1,29,1,13,0,4,2,White
0,0,0,40,0,0,51,0,8,4,3,3,White
1,0,0,40,20,0,36,0,8,1,6,3,White
0,0,0,40,0,0,26,0,9,2,4,3,White
1,0,0,60,0,0,35,0,9,0,4,2,White
1,0,0,55,0,1,44,0,9,0,3,2,White
1,0,1902,45,0,1,46,2,10,0,5,2,White
1,0,0,50,0,0,31,0,10,0,5,2,White
1,0,0,20,0,0,18,0,6,2,2,1,White
1,0,0,40,20,0,40,0,8,0,7,2,White
1,0,0,20,0,0,19,0,12,2,1,1,Asian-Pac-Islander
0,0,0,40,0,0,20,0,9,2,8,3,White
1,0,0,48,0,0,39,4,9,0,12,2,White
1,15024,0,50,0,1,49,0,13,0,4,2,White
1,0,0,40,0,0,47,3,8,1,1,3,White
1,0,0,20,20,0,52,1,3,0,1,2,White
0,0,0,20,0,0,18,0,8,2,8,1,White
1,0,0,42,20,0,27,0,14,2,3,3,White
1,0,0,40,0,0,30,0,12,0,7,2,White
0,0,0,40,0,0,21,0,8,5,7,3,White
1,0,0,40,0,0,33,0,8,5,8,3,Black
1,7688,0,40,0,1,54,4,13,0,5,2,White
1,0,0,40,0,0,29,0,12,0,8,2,White
0,0,0,50,0,1,45,5,14,2,4,3,White
1,5178,0,50,0,1,33,0,8,0,4,2,White
1,0,0,50,0,0,23,0,5,2,2,3,White
1,0,0,55,0,1,29,0,13,0,3,2,White
1,5013,0,40,0,0,33,0,9,0,7,2,White
1,0,0,30,0,0,19,0,9,2,12,1,White
1,0,0,40,0,1,48,0,9,0,7,2,White
1,0,0,50,0,1,46,4,14,1,4,3,White
1,0,0,40,0,1,28,0,8,0,3,2,White
0,0,0,40,0,0,45,4,13,1,5,5,White
0,0,0,40,0,0,44,0,6,1,7,5,Black
0,0,0,20,0,0,19,0,9,2,7,1,White
0,0,0,30,0,0,41,1,14,2,3,3,White
1,0,0,40,0,0,33,0,6,0,6,2,White
1,0,0,50,0,0,45,1,6,0,1,2,White
1,0,0,15,0,0,60,0,3,0,10,2,White
1,0,0,45,0,0,47,0,14,1,5,3,White
1,0,0,60,0,0,30,0,13,0,5,2,White
1,0,0,60,0,0,47,1,13,0,3,2,White
1,0,0,30,0,0,62,0,7,0,4,2,White
0,0,0,23,0,0,47,0,15,2,5,1,White
0,0,0,40,18,0,40,0,8,3,8,5,Black
1,0,0,60,9,1,44,2,13,0,3,2,White
1,0,0,64,0,0,57,0,5,1,8,3,White
1,0,0,45,0,1,39,0,9,0,4,2,White
0,0,0,48,0,0,18,0,8,2,7,1,White
1,0,0,60,0,0,24,0,9,0,10,2,White
1,0,0,40,0,0,61,0,8,1,2,3,Black
1,5013,0,30,0,0,49,0,9,0,5,2,White
1,0,1902,70,0,1,58,0,13,0,3,2,White
0,0,0,40,36,0,45,0,8,2,2,3,White
0,0,0,7,0,0,19,0,9,2,3,1,White
1,0,0,40,0,0,30,0,8,0,1,2,White
1,0,0,70,0,0,24,2,11,2,3,3,White
1,0,0,40,0,0,29,0,8,2,6,3,White
1,0,0,40,0,1,44,0,9,0,4,2,Amer-Indian-Eskimo
0,0,0,20,0,0,18,0,9,2,2,1,White
1,0,0,39,0,0,20,0,6,2,6,1,White
1,4386,0,40,0,1,36,0,8,0,7,2,White
1,0,0,30,0,0,30,0,8,0,6,2,White
0,0,0,40,0,0,20,0,8,2,1,5,Black
0,2407,0,36,0,0,26,0,6,0,2,0,White
1,0,0,40,0,0,18,0,5,2,10,1,White
1,0,0,50,0,0,22,0,8,0,6,2,White
0,0,0,37,0,0,53,5,11,0,5,0,Black
1,0,0,40,0,0,89,0,13,0,3,2,White
1,0,0,35,0,0,46,1,9,0,5,2,White
1,0,0,55,0,0,52,0,5,0,10,2,White
0,0,0,20,0,0,22,0,8,2,2,1,White
1,7298,0,40,0,1,36,0,9,0,1,2,White
0,0,0,35,0,0,47,1,8,3,3,5,White
0,0,0,30,0,0,34,0,5,5,2,5,Black
0,0,0,25,0,0,23,0,9,2,2,3,White
1,0,0,74,0,1,55,0,9,0,10,2,White
1,0,0,60,0,0,29,0,6,0,1,2,White
1,0,0,40,0,0,25,3,9,0,1,2,White
0,0,0,50,0,0,24,0,13,2,5,3,White
1,0,0,40,0,1,39,3,9,0,4,2,Asian-Pac-Islander
0,0,0,45,0,0,61,0,6,4,8,3,White
0,0,0,15,0,0,23,0,11,2,8,3,White
1,0,0,45,0,0,50,0,9,1,3,5,White
0,0,0,40,0,0,41,0,9,0,2,0,White
1,0,0,40,0,0,39,0,13,2,6,1,White
0,0,0,35,0,1,57,1,13,0,5,0,White
1,0,0,48,0,0,30,0,13,2,7,3,White
1,0,0,40,0,0,20,0,6,2,9,1,Black
1,0,0,35,0,1,59,0,8,0,10,2,White
1,0,0,40,0,1,41,0,8,0,10,2,White
0,0,0,40,0,1,39,0,13,1,3,5,White
1,0,0,40,0,0,26,0,8,0,1,2,White
1,0,0,40,0,0,61,0,5,0,1,2,White
0,0,0,25,0,0,21,4,9,2,5,1,White
1,0,0,25,0,0,24,0,9,2,3,3,White
1,0,0,35,0,0,22,0,9,2,2,3,White
0,0,0,40,0,0,25,0,13,0,2,0,White
1,0,0,35,0,0,28,0,11,2,8,1,White
0,0,0,40,0,0,40,0,13,2,3,1,White
1,0,0,40,0,1,48,0,9,1,7,3,White
1,5178,0,60,0,1,32,0,12,0,3,2,White
1,0,0,38,0,0,32,0,8,2,2,1,Black
1,0,0,72,0,1,29,4,11,0,12,2,White
0,0,0,40,0,0,51,0,4,2,2,3,Black
1,3908,0,40,0,0,43,3,8,0,8,2,White
1,0,1579,40,0,0,42,4,11,0,4,2,White
1,0,0,40,0,1,43,0,11,0,6,2,White
0,0,0,60,0,0,25,0,13,2,2,3,White
0,0,0,70,0,1,38,0,13,1,3,3,White
1,0,0,40,29,0,39,0,5,2,6,3,White
0,0,0,24,0,0,23,0,8,1,2,3,White
1,0,0,40,0,1,55,4,13,0,4,2,White
1,0,0,29,0,0,63,0,8,0,1,2,White
1,0,0,40,0,0,53,0,8,0,1,2,White
1,13550,0,60,7,1,45,0,9,2,4,3,Other
1,0,1902,50,0,1,46,0,9,0,4,2,White
1,0,0,40,12,0,67,0,7,0,7,2,Black
1,0,0,10,0,0,22,0,13,2,2,1,White
1,0,0,40,0,0,61,0,8,1,3,3,White
1,0,0,40,0,0,46,0,8,1,1,5,White
1,0,0,40,0,0,32,0,8,2,1,3,White
0,0,0,40,0,0,32,0,9,2,8,1,White
0,15024,0,40,0,1,41,0,14,0,5,0,White
1,0,0,40,0,0,32,0,11,0,5,2,White
1,0,0,50,0,1,28,3,13,2,4,3,White
0,0,0,15,0,0,18,0,9,2,11,1,White
0,0,0,40,0,1,58,5,13,4,0,5,White
0,0,0,55,24,0,44,0,4,1,2,5,White
1,0,2205,45,0,0,22,2,8,2,4,1,White
1,0,0,40,0,1,32,0,13,2,4,3,White
1,0,0,60,0,0,46,0,14,2,8,3,White
1,0,0,40,0,0,27,0,8,1,1,3,White
0,0,0,40,0,0,34,0,8,2,4,3,White
1,0,0,50,37,0,50,0,8,0,7,2,Black
1,5013,0,40,20,0,49,0,8,0,4,2,White
1,0,0,45,0,0,50,4,8,0,1,2,White
1,0,0,40,0,0,32,0,9,0,7,2,White
0,0,0,24,5,0,36,4,10,1,5,5,White
0,0,0,50,0,1,42,0,13,1,4,3,White
0,0,0,10,0,0,33,1,9,0,2,0,White
1,0,0,40,0,0,27,0,9,2,2,1,Black
1,0,0,60,0,1,53,0,9,0,10,2,Other
1,5178,0,50,0,1,42,2,8,0,4,2,White
1,3103,0,50,0,1,42,4,13,0,5,2,White
1,7298,0,50,0,1,34,0,8,0,4,2,White
1,0,0,40,15,0,59,0,9,0,2,2,Asian-Pac-Islander
1,0,0,70,0,0,64,1,3,0,1,2,White
0,4865,0,40,0,0,53,0,14,1,4,3,White
1,0,0,40,0,0,29,0,11,2,3,3,White
1,0,0,45,0,1,33,0,15,0,5,2,White
0,0,0,40,0,0,23,0,13,2,5,3,White
1,0,0,40,0,1,38,0,13,2,8,3,White
1,0,0,40,20,0,37,0,9,0,6,2,Other
0,0,0,40,0,0,53,0,8,3,7,3,Black
1,7298,0,40,0,1,40,0,9,0,6,2,White
0,0,0,40,0,0,29,0,9,2,0,3,White
1,0,0,42,0,1,48,0,13,0,5,2,Asian-Pac-Islander
0,0,0,10,0,0,17,0,5,2,2,1,White
0,0,0,50,0,0,29,4,14,2,5,3,White
0,0,0,40,0,1,38,0,14,2,4,3,White
1,0,0,60,0,1,36,0,14,0,5,2,White
1,0,0,40,0,0,42,0,13,0,2,2,White
0,0,0,40,0,0,52,0,9,1,7,3,White
1,0,0,50,0,1,29,0,13,0,4,2,White
0,0,0,20,0,0,73,0,8,4,8,3,White
1,0,0,40,0,0,35,0,8,0,7,2,White
0,0,0,40,0,0,54,0,9,2,2,3,White
1,0,0,50,0,0,34,0,8,2,4,3,White
1,0,0,40,0,0,26,0,8,2,6,5,White
1,0,0,40,0,1,57,0,13,0,4,2,White
0,0,0,40,0,0,66,0,13,1,4,3,White
0,0,0,40,0,0,26,0,13,2,4,1,White
0,0,0,50,0,0,35,0,9,2,4,3,White
1,0,0,40,0,1,60,3,13,0,5,2,White
0,0,0,40,5,0,31,0,8,2,8,3,White
0,0,0,50,0,0,34,0,9,2,0,3,Black
1,0,0,80,0,0,32,1,6,0,9,2,White
0,0,0,40,0,1,37,0,13,1,4,3,White
1,0,0,60,0,0,22,0,9,2,12,3,White
0,0,0,40,0,0,30,0,9,2,3,3,White
0,0,0,40,0,0,83,0,9,2,4,3,White
1,0,0,35,0,0,34,0,9,2,5,1,White
1,0,1719,48,0,0,29,0,9,2,6,1,White
1,0,0,55,0,1,51,2,9,0,4,2,White
0,0,0,40,0,0,56,0,9,1,3,5,White
1,0,0,40,0,1,35,0,13,0,4,2,White
1,2174,0,40,0,0,49,0,6,4,1,3,White
0,0,0,40,0,0,28,0,8,1,8,3,White
1,0,0,80,20,0,33,0,5,0,2,2,White
1,0,0,40,0,0,43,0,9,1,6,3,Black
0,0,0,40,0,0,29,4,9,0,4,1,White
0,0,0,40,0,0,57,0,8,1,8,3,White
1,0,0,45,0,0,25,0,11,2,4,1,White
1,2580,0,30,0,0,25,0,6,0,1,1,White
0,0,0,34,10,0,21,0,8,2,6,3,Asian-Pac-Islander
1,0,0,45,0,0,27,4,8,2,2,1,White
1,0,0,30,0,0,61,0,8,0,2,2,White
0,0,0,40,0,0,48,0,8,1,5,5,White
1,0,0,40,0,0,40,0,8,1,7,1,White
1,0,2205,40,0,0,24,0,8,2,3,1,White
1,0,0,55,0,1,40,3,8,0,8,2,White
1,0,0,36,0,0,52,0,14,0,4,2,White
0,0,0,30,0,0,17,0,7,2,2,1,White
1,0,1977,50,0,1,35,0,13,0,4,2,White
1,0,2174,40,0,1,67,2,13,0,3,2,White
1,0,0,30,20,0,52,0,9,0,10,2,White
0,0,0,45,0,0,48,1,8,3,2,5,White
1,0,0,40,0,0,38,0,5,0,2,2,White
1,0,0,40,0,0,35,0,6,2,7,3,White
1,0,0,30,0,0,17,0,5,2,9,1,White
0,0,0,30,0,0,21,0,9,2,4,5,White
1,0,0,40,0,0,36,1,6,2,10,3,Black
1,0,0,40,0,1,59,0,8,0,1,2,White
1,99999,0,30,0,1,61,1,14,0,5,2,White
1,0,0,40,0,0,23,0,8,0,1,2,White
1,4101,0,38,0,0,56,0,8,1,12,1,White
1,0,0,35,0,0,39,1,9,0,4,2,White
1,0,0,30,0,0,18,0,9,2,2,1,White
1,0,0,40,0,0,58,1,8,0,1,2,White
0,0,0,40,0,1,45,0,11,3,8,5,White
1,0,0,40,0,0,52,0,8,0,10,2,White
1,0,0,50,0,1,47,1,8,0,4,2,White
1,0,0,40,0,0,40,0,8,0,6,2,White
1,0,0,40,0,0,56,0,5,0,7,2,White
0,0,0,35,0,1,47,4,13,1,5,3,White
1,0,0,40,0,0,26,0,8,2,10,5,White
